point,int_point,mae,min,max,"accuracy, %"
Точка продаж 1,1,160.02391867817641,18.5,1430.0,88.66284671072077
Точка продаж 2,2,1206.249957628229,1.5,8829.0,86.33531625456553
Точка продаж 3,3,1126.7992796543558,98.5,11695.5,90.28370027029098
Точка продаж 4,4,898.7687691772734,74.5,7040.0,87.09685206837594
Точка продаж 5,5,2108.6875954150237,4.5,28954.1,92.71600438204665
Точка продаж 6,6,235.0345855101614,125.0,2025.0,87.62975865735993
Точка продаж 7,7,704.0737540047572,225.0,8550.0,91.54265760955246
Точка продаж 8,8,1952.626362635179,120.0,25813.5,92.40030995140725
Точка продаж 9,9,2792.3699031969113,22.365,40004.26,93.01591407011371
Точка продаж 10,10,1392.268251901976,73.5,14936.5,90.6326565841218
Точка продаж 11,11,1047.4601391644565,25.0,15325.0,93.15385529957871
Точка продаж 12,12,1156.3917147967632,23.5,12654.0,90.84445022131537
Точка продаж 13,13,800.7357409023111,35.0,7572.5,89.376640253369
Точка продаж 14,14,4036.505120928097,25.0,122100.0,96.69342197753177
Точка продаж 15,15,5914.057063115315,25.0,71365.0,91.71004056193536
Точка продаж 16,16,6517.836620001875,30.0,78037.5,91.64460260872112
Точка продаж 17,17,768.5521941049763,1.95,7603.93,89.89010502388882
Точка продаж 18,18,4438.869827723133,245.0,53750.0,91.70382239468623
Точка продаж 19,19,2096.1574616265434,50.0,20600.0,89.79972038137936
Точка продаж 20,20,4723.736077688921,615.0,49585.0,90.35381646377594
Точка продаж 21,21,1108.7421387091727,3.0,9647.0,88.50329594868133
Точка продаж 22,22,947.0540447448897,37.5,10578.5,91.01551992462869
Точка продаж 23,23,3087.9179348013663,52.5,42001.5,92.63887593315367
Точка продаж 24,24,481.7081597052943,45.0,3838.5,87.30174878857798
Точка продаж 25,25,1657.6383889672309,50.0,29012.5,94.27660461297461
Точка продаж 26,26,1358.1548812753967,25.0,19730.0,93.10756213511597
Точка продаж 27,27,466.52885724013504,37.5,4150.0,88.65583325859853
Точка продаж 28,28,2088.1452136947687,44.5,24559.5,91.48217330738417
Точка продаж 29,29,9297.106521310205,40.0,152340.0,93.8955308461522
